"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-01",98.09606,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-02",97.84477,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-03",97.50201,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-04",97.10168,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-05",96.75917,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-06",96.65349,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-07",96.95141,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-08",97.49492,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-09",98.11462,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-10",98.69756,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-11",99.17887,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-12",99.47366,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-01",99.51048,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-02",99.4514,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-03",99.49429,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-04",99.771,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-05",100.1436,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-06",100.4104,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-07",100.4157,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-08",100.2662,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-09",100.0998,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-10",100.0104,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-11",99.98877,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2021-12",100.0122,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-01",100.0657,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-02",100.1192,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-03",100.1376,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-04",100.0923,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-05",100.0067,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-06",99.90543,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-07",99.80283,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-08",99.70817,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-09",99.63155,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-10",99.58207,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-11",99.54789,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2022-12",99.51355,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-01",99.46198,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-02",99.37666,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-03",99.22884,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-04",98.99848,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-05",98.75777,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-06",98.61189,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-07",98.65009,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-08",98.80206,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2023-09",98.99274,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-01",100.043029746595,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-02",99.4744403393718,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-03",98.699767335707,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-04",98.1287816644907,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-05",98.6774394388328,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-06",99.6139519095245,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-07",100.505448623484,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-08",101.115901586297,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-09",101.413154345571,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-10",101.710147947333,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-11",102.032793748905,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-12",102.078586681873,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-01",102.252704919527,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-02",102.514741736476,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-03",102.716608911727,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-04",102.968617351114,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-05",103.422667834294,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-06",103.848135772345,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-07",104.095938661765,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-08",104.318422372665,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-09",104.379685074985,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-10",104.391978365619,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-11",104.181334802861,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-12",104.060157751707,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2022-01",104.100334861185,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-01",100.0831,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-02",99.5623,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-03",98.54212,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-04",97.51643,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-05",96.90332,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-06",97.10638,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-07",97.73495,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-08",98.42659,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-09",99.04512,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-10",99.37158,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-11",99.45007,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2020-12",99.68984,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-01",99.96027,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-02",100.346,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-03",100.7848,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-04",101.2784,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-05",101.7605,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-06",102.1076,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-07",102.3001,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-08",102.3662,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-09",102.4338,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-10",102.4968,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-11",102.4843,
"ITA","BCI","AMPLITUD","LTRENDIDX","M","2021-12",102.4128,
